,logFC,AveExpr,t,P.Value,adj.P.Val,B
RP11-40C6.2,8.583584803456736,-1.3740597242653543,117.63314790923631,0.0,0.0,1098.0804272549005
AC009065.4,5.94943148676869,-3.423746009810496,93.31211196785324,0.0,0.0,936.7930223542769
BBOX1-AS1,6.993571579471225,-2.79127887690856,93.14092319834224,0.0,0.0,935.9075451171485
NCKAP1,5.003165758036397,4.1520830027601106,89.62915104455423,0.0,0.0,912.1490141924072
ENAH,6.478743941961037,2.8825566715844597,88.44987198906219,0.0,0.0,902.993408911058
TNKS1BP1,5.10332654477407,4.837627184583778,86.63864384835198,0.0,0.0,889.0396210028906
PTPRF,6.8759781839681215,4.982942177936844,85.60581936115148,0.0,0.0,880.9018639286844
RBFOX2,5.382298456816507,3.0380735221401833,85.47908206142017,0.0,0.0,879.8169679036085
LRP11,6.2087758582047465,2.7656319788955983,84.29003372051605,0.0,0.0,870.3057403213044
KIAA1522,5.91148512742369,4.5154050027753305,83.91248476513725,0.0,0.0,867.3823949176725
RP11-64K7.1,4.417528340908307,-4.131376296319343,83.73257102355018,0.0,0.0,863.3756355956777
PTPRK,5.675326558527817,2.659659974279982,83.3618653167431,0.0,0.0,862.8204622799827
TJP1,5.953707041254052,2.6570109814389826,83.2289302435595,0.0,0.0,861.7450032925836
RCN1,4.3493278086069775,4.949301469211281,82.38071748036391,0.0,0.0,854.9635152657492
DDR1,5.610191687756892,4.873058602991702,81.70455700219948,0.0,0.0,849.4216534549382
KIAA1217,6.987336748330891,2.3568904925833176,81.16160765134937,0.0,0.0,844.7948923835572
FAM83H,5.532549798734233,4.20333333671028,81.12978215033198,0.0,0.0,844.6805855259204
RAI14,6.850766723149878,2.495877137174072,80.13931928725253,0.0,0.0,836.3370199753492
PTK2,4.014498211206978,4.327441372114775,80.08075529481906,0.0,0.0,835.9617370292051
LAMB1,5.7766020754244725,4.142480739458558,80.0284864428441,0.0,0.0,835.5242727110776
AGRN,6.083311759734112,5.171817172194424,79.98058880760469,0.0,0.0,835.1238978088363
WNT7B,10.213769466784075,0.1726687265378472,79.7269591943093,0.0,0.0,832.2943891549478
CD276,7.110128034075737,2.713542226334262,79.61531231389078,0.0,0.0,831.9866086692415
LRRC8E,8.113542158299143,-0.5820636263148026,79.03600912038354,0.0,0.0,826.2907245747693
SDC1,9.177248657429201,4.9591172623061635,78.47644183653135,0.0,0.0,822.4483330614381
RP3-523K23.2,8.78103820295546,-1.0468597664756247,78.35983472043493,0.0,0.0,820.4605774387303
EI24,2.7293983560099027,5.079197149626254,78.23141839100624,0.0,0.0,820.3651686411032
YAP1,6.459861252057283,2.919922818292062,78.1891850437804,0.0,0.0,819.9636369780421
COL4A1,6.529380255013294,4.254645375329495,77.98528080144015,0.0,0.0,818.2697989661721
CDC42BPB,2.9809575359053495,4.64827940782907,77.58013400208799,0.0,0.0,814.8047597941486
HMGN1P37,4.755160389411549,-3.9404698600837027,77.53462938526013,0.0,0.0,812.4460149820301
FERMT1,9.376154792641035,0.5232673017660211,77.3903184238501,0.0,0.0,812.6463246845891
CASKIN2,4.66318590788568,2.1534468216508773,77.20989898150896,0.0,0.0,811.4895560568843
PTGFRN,6.043786523937309,3.243775674736943,76.49154012713785,0.0,0.0,805.4162358620745
CEP170B,4.911965505459224,3.193404406387557,76.44885266878758,0.0,0.0,805.0441532002696
FAT1,7.616017379854927,2.815345703955643,75.86376606949608,0.0,0.0,799.9363667222519
ESRP1,9.731334677381685,1.5639323883160456,75.78390016269488,0.0,0.0,799.0439763710269
NOTCH3,5.733088250983274,4.313283449099189,75.74554757601658,0.0,0.0,798.9430347769436
VWA1,7.500075658964967,2.5536617281792457,75.63193278577944,0.0,0.0,797.8881537525505
TSPAN6,7.916209676762159,2.110343949501544,75.45159720867241,0.0,0.0,796.2501452086528
CLDN12,5.111295775564349,1.8246144331298457,75.45084283836069,0.0,0.0,796.1923182468037
IGSF3,7.987214643081181,1.5856707527052587,75.42393175942193,0.0,0.0,795.9090069304679
FAM83H-AS1,9.120551629847942,0.2881590017032558,75.33848800671673,0.0,0.0,794.85109874894
LRP5,5.375784564558557,3.2730897122397344,74.80053176539514,0.0,0.0,790.6508405970715
CAMSAP2,4.2488234410294625,2.773264346428371,74.50399709514951,0.0,0.0,788.0067708019853
GNA11,3.278625163114811,3.947216521176556,74.42020384092055,0.0,0.0,787.3005384408773
DAG1,3.798115543398539,4.752119356328931,74.23431086999236,0.0,0.0,785.6477816326783
DSG2,8.710749541851944,2.2590187144051708,74.13937707896258,0.0,0.0,784.7244378727595
GRHL2,9.623791902275027,0.7126789920120764,74.01882968030996,0.0,0.0,783.3496617364451
PFN2,5.577984627884556,3.492314422107733,73.78223602170848,0.0,0.0,781.638607658385
PERP,6.65265885924695,5.2574494363492486,73.68635426825506,0.0,0.0,780.7749030306152
BCAR1,6.249855994665958,2.781161953296077,73.63674741700727,0.0,0.0,780.313682678927
ATP8B1,7.171141243371541,2.1974617767668283,73.63498239647164,0.0,0.0,780.2350213040986
GTF2IRD1,6.304427870196062,1.8636988727836203,73.56410709938022,0.0,0.0,779.5516068407528
PLS3,6.315494218860146,3.588473464622997,73.36351046188236,0.0,0.0,777.9036126737634
ARL1,2.752765448037618,4.171669620722302,73.12845040135484,0.0,0.0,775.7952606934512
MMP14,5.56523209754574,5.390150772955393,73.10406731981216,0.0,0.0,775.5683767911825
COL4A2,6.2639998223382065,4.562662834446529,73.04787871838795,0.0,0.0,775.0681954911427
KRT19,11.11612781025469,4.95820604002406,73.0407002524609,0.0,0.0,775.0008763547823
SHFM1,3.6458832343837266,4.647733361168541,72.92041155114241,0.0,0.0,773.9228617265924
