,logFC,AveExpr,t,P.Value,adj.P.Val,B
ATP1B1,7.918872154101818,5.882285587462483,128.49634913987958,0.0,0.0,1295.490992501574
CCND1,8.41516422022929,5.4346913098768725,122.59193640214144,0.0,0.0,1256.6971796720507
COL4A1,8.617988114407051,6.013899408872592,117.2380225491396,0.0,0.0,1220.0414121446613
LINC01158,9.44418137181378,-0.5105418697414399,114.91326597280978,0.0,0.0,1201.7659829910162
CNN3,6.438751479349575,4.847224551461159,113.86605774793941,0.0,0.0,1196.1862711228653
LINC01320,11.420605415493732,0.4446434262418957,113.84419359025439,0.0,0.0,1194.6535731823499
COL4A2,7.98653097296996,6.080711956481747,111.70229139993603,0.0,0.0,1180.5538123770912
WWTR1,7.241618069822246,4.259054702834236,110.38136934349494,0.0,0.0,1170.8571989156953
NCKAP1,5.31286298278536,4.722067951771832,109.5676275032159,0.0,0.0,1164.8639867673398
CDH16,11.921090826903212,1.9719159496446077,108.98382404624356,0.0,0.0,1160.0130741998053
POU3F3,10.75211161944303,1.6773733180236818,108.48718432325525,0.0,0.0,1156.1964555730324
EPB41L1,6.856659589914208,3.3829394792751804,107.73919227274854,0.0,0.0,1151.115595405106
PTK2,4.01127224472952,4.641724597751156,106.64691250904151,0.0,0.0,1142.966413418326
NR2F2,6.865605265169784,3.451212651689074,106.11008598720413,0.0,0.0,1138.8039155692845
MET,9.913920481556094,3.5013744109547904,106.03678947521155,0.0,0.0,1138.252506471814
HNF1B,11.055737263668211,1.5758896018659059,105.6119846977159,0.0,0.0,1134.4742893286082
KLHDC7A,10.345507393030609,0.39089612049251315,105.31801688422598,0.0,0.0,1131.7257356965995
PAX2,10.709308785629363,0.6046435917203085,105.1737077317942,0.0,0.0,1130.7151843825732
PABPC4L,8.317403549092042,-1.0569802729730442,105.03200233958927,0.0,0.0,1128.9817831780706
PPFIBP1,6.281473007744077,3.8012829653032427,104.86170145285959,0.0,0.0,1129.2885037524381
NFIB,6.8518669971304105,3.5183288296277846,104.55713451525308,0.0,0.0,1126.9136100104645
RBPMS,5.136689083190395,4.526370003715574,103.801795216463,0.0,0.0,1121.133048590509
PTPRK,6.231081164199127,3.422678416112365,103.76486478342763,0.0,0.0,1120.7725966249122
SEMA5B,11.556800719700824,1.6296741351784023,103.54131720653075,0.0,0.0,1118.564060719827
DOCK1,5.525883029403599,3.4169985036427306,103.30450229569217,0.0,0.0,1117.1922625863065
TJP1,6.412371303745639,3.3842088860134334,102.6947802303018,0.0,0.0,1112.426121497117
SGCB,5.912355087570224,4.038076700281214,101.94218936199074,0.0,0.0,1106.570460080247
FAT1,8.54625596640869,3.9327606636057055,101.18971017692513,0.0,0.0,1100.6155773888277
EGFR,8.445284760381869,4.109687328569313,100.96611758294814,0.0,0.0,1098.8490940115876
YAP1,6.583843336172819,3.467777506946572,100.80161264187217,0.0,0.0,1097.495511933511
DNAJC22,9.906638459062417,0.6821385407505527,100.39497934175405,0.0,0.0,1093.4752523592172
RBFOX2,5.603379232129719,3.5765020975578405,100.22089215059755,0.0,0.0,1092.8754083238478
ENPEP,11.443443133494402,3.135278511087313,99.61717812759223,0.0,0.0,1087.9854561969828
B4GAT1,4.41565003168529,3.285313837254358,99.465899807524,0.0,0.0,1086.7898935949072
GPR39,8.03461723852202,-1.2604909510661377,99.18878867456117,0.0,0.0,1083.1739110986218
ALDH7A1,6.121041265121747,3.383162301194453,99.04965032036746,0.0,0.0,1083.4471534354432
GNG12,7.088560092953063,3.810348884801835,98.74752133545137,0.0,0.0,1081.0399623969774
FZD4,7.207193729537469,3.9487190331342097,98.13100544873821,0.0,0.0,1076.042757646881
ADGRL2,7.515802095544428,2.91810153223611,98.01634364688859,0.0,0.0,1075.0062031182883
NRP1,7.429032832031154,5.06472846979306,97.85328147487814,0.0,0.0,1073.7982820124619
HOXD8,9.01627878649989,0.4518240177521204,97.73952708876332,0.0,0.0,1072.02273245077
RAI14,6.581177012652155,2.8311305698000817,97.56318882029022,0.0,0.0,1071.2951524536138
TM4SF18,10.062463627373939,1.7340124656982119,97.24796903971189,0.0,0.0,1068.448081310435
TRAM1L1,7.243734074792575,-1.5185372967415338,96.54637393314631,0.0,0.0,1061.6565971101481
KIF12,9.893549645455538,0.9548482196225442,96.50129468553526,0.0,0.0,1062.0652506124768
ARL1,3.443746436859098,4.828269740927923,96.47887517215509,0.0,0.0,1062.5161824866095
KIAA1217,6.886895502570125,2.8061188271500574,96.30703887136578,0.0,0.0,1060.9700512320367
OR51E1,8.144177928427974,-1.2340235633431529,96.20729693845898,0.0,0.0,1058.9519531694484
C14orf105,10.4109891682504,1.1323371497600216,95.99130384752365,0.0,0.0,1057.917825878197
JAG1,5.1780394331415796,4.871486686056143,95.70410971772382,0.0,0.0,1056.0980500986266
P3H2,9.018932613398452,2.945714593908974,95.44083956370501,0.0,0.0,1053.8092706398427
A2M,6.986847362339223,6.988506785171905,95.41669447571964,0.0,0.0,1053.704561934292
TSPAN12,9.751308491443668,2.543512675398419,95.2724020228466,0.0,0.0,1052.3376573409355
LAMB1,5.997962959418487,4.707128455706669,95.09233653139063,0.0,0.0,1050.998819317216
CAV2,6.685990357342613,3.8650862751404853,94.98081692207656,0.0,0.0,1050.0516137072839
UACA,5.512670332268376,4.190997480623196,94.94354300198292,0.0,0.0,1049.7491237139554
