chr	start	stop	q-value	mean methylation difference	#CpGs	p (MWU)	p (2D KS)	mean g1	mean g2
chr1	1006781	1007317	0.00069498	-0.29456	9	1.9754e-09	8.1059e-07	0.58918	0.88374
chr1	1014012	1014514	0.036113	-0.141499	5	0.00057316	0.00045448	0.53437	0.67587
chr1	1331737	1332366	0.0062017	-0.211767	7	2.0212e-06	3.3716e-05	0.58559	0.79736
chr1	2028003	2028394	0.0039841	-0.232172	6	3.2137e-08	1.2427e-05	0.69858	0.93075
chr1	2134567	2135193	0.023023	0.150576	5	0.00070972	0.00026687	0.75516	0.60459
chr1	2413894	2414037	0.0014937	-0.1796	8	3.5749e-07	2.2677e-06	0.42849	0.60809
chr1	2910845	2911680	0.0045186	-0.249475	8	3.2293e-07	2.3212e-05	0.58874	0.83822
chr1	2923198	2923676	0.0039841	-0.332371	5	4.7106e-08	1.1776e-05	0.53024	0.86261
chr1	2933947	2934387	0.0071508	-0.274906	5	2.0954e-06	4.1727e-05	0.62533	0.90024
chr1	2970089	2970517	0.00080973	-0.22661	6	1.067e-06	1.0247e-06	0.64984	0.87645
chr1	3223735	3224343	0.016444	-0.224044	5	0.0019698	0.00014727	0.63152	0.85556
chr1	3245840	3247147	0.015085	-0.190055	9	0.00061347	0.00010427	0.64508	0.83514
chr1	3595146	3595680	0.0072767	-0.184349	5	1.2124e-05	4.2593e-05	0.67926	0.86361
chr1	3650399	3651682	0.00013535	0.232737	23	1.7524e-11	8.5753e-08	0.38171	0.14897
chr1	5480441	5480891	0.0015328	-0.312568	5	7.2731e-08	2.5035e-06	0.52829	0.84086
chr1	18630268	18631139	0.027322	0.210087	9	3.2978e-05	0.00032142	0.31544	0.10535
chr1	21550829	21551100	0.016444	-0.305733	5	2.24e-05	0.0001474	0.57944	0.88517
chr1	24931014	24931842	8.4152e-10	0.252932	20	4.5408e-14	1.8176e-14	0.58841	0.33548
chr1	26862779	26863840	0.003056	-0.14331	10	5.1481e-08	5.9921e-06	0.47942	0.62273
chr1	37946847	37947147	0.01844	0.263595	6	5.7862e-05	0.00020204	0.39569	0.1321
chr1	43285599	43285893	0.046939	-0.117326	7	0.0018172	0.00062047	0.49626	0.61359
chr1	45326868	45327629	0.0049335	0.221416	9	1.1552e-05	2.5947e-05	0.30571	0.084298
chr1	46543855	46544552	0.028869	0.126317	6	0.00041013	0.00034025	0.30617	0.17985
chr1	47444259	47444785	0.016444	0.196554	5	0.00023614	0.0001326	0.37013	0.17358
chr1	50047973	50048256	0.0059626	0.237694	7	8.2866e-06	3.1896e-05	0.31452	0.076824
chr1	54781194	54781736	0.0063452	0.242117	5	9.2693e-06	3.5199e-05	0.77494	0.53282
chr1	64203442	64203917	0.020905	-0.12563	9	0.001376	0.00023968	0.78228	0.9079
chr1	66751990	66752823	9.3138e-07	0.196767	13	4.6185e-14	1.5088e-10	0.30654	0.10977
chr1	79006597	79006768	1.7738e-05	0.401472	5	1.5036e-09	5.5553e-09	0.63629	0.23482
chr1	90716571	90717495	0.018124	0.187308	11	5.9419e-06	0.00018705	0.36381	0.1765
